#FOFID pos_x pos_y pos_z vel_x vel_y vel_z
#integer kpc/h kpc/h kpc/h km/s km/s km/s 
0 931.087830 26254.335938 18358.875000 41.355675 -149.905334 26.771769
1 19786.298828 47502.738281 49018.953125 -152.186813 74.942268 5.031363
2 10846.505859 50886.320312 47641.710938 278.459015 -97.648277 84.872131
3 68557.257812 58937.511719 53854.449219 308.194611 -50.396061 -79.366142
4 74681.140625 18291.472656 23925.564453 101.292046 214.095184 67.608383
5 43214.257812 38208.949219 70071.492188 -24.809563 -90.724373 -71.283333
6 40706.335938 66911.570312 43121.957031 51.735455 121.545120 82.974701
7 38349.253906 881.377747 70723.875000 -178.804276 -26.829830 5.401042
8 23899.576172 33031.781250 41373.652344 -90.588783 259.643463 187.142151
9 18792.404297 68199.843750 2366.733398 24.517147 -3.454721 -62.126957
10 58421.128906 590.845764 38081.164062 -7.971199 76.700523 65.920448
11 24121.927734 36126.046875 43408.648438 -171.048325 -77.453934 7.964357
12 18181.152344 1923.110718 9047.983398 21.347212 25.497318 -75.545448
13 15833.258789 49000.453125 48631.574219 -9.419351 -284.881042 8.767236
14 52216.320312 70885.453125 41896.402344 -50.464596 93.977783 -48.685734
15 55447.878906 7637.296875 35468.976562 165.527710 -177.597992 115.125420
16 1214.779297 51820.324219 55244.687500 37.492748 117.040154 -175.168533
17 65779.656250 17887.757812 25989.031250 397.944183 36.110592 171.511642
18 43451.296875 67845.367188 44433.750000 -208.846954 -18.989630 -365.057007
19 13474.491211 53091.539062 68489.632812 105.706123 49.955559 -189.520859
20 15318.902344 10536.766602 28702.636719 -188.441635 133.302048 -36.165806
21 15007.543945 60091.406250 71638.421875 123.830070 -48.885437 -141.536041
22 70880.242188 58917.058594 40619.535156 133.600845 9.081045 161.439743
23 38276.226562 71570.937500 37564.062500 131.164856 -35.749168 250.084137
24 39296.851562 21707.619141 47300.710938 -159.730072 7.787257 5.349993
25 8402.800781 11899.125977 34671.851562 -2.008702 -11.838175 -157.678238
26 52844.335938 71186.203125 17138.365234 -27.301813 16.099243 193.893921
27 23576.699219 68432.773438 73492.414062 -180.861908 26.076921 47.979324
28 5347.526855 21222.958984 19751.523438 -344.108795 184.967880 217.724411
29 6750.037598 29604.189453 4796.304688 -101.087151 -9.279761 45.836861
30 25553.417969 6151.808105 74719.554688 -64.304810 -189.040375 82.429184
31 53372.417969 69268.109375 26693.410156 11.246963 59.526047 169.176025
32 29434.878906 1721.425171 73007.203125 -85.835091 -67.499908 -118.821480
33 68059.765625 35367.593750 1732.025269 214.747040 -126.198845 45.343658
34 70321.429688 59603.683594 55824.828125 -178.873489 -443.372559 -361.490784
35 19216.914062 23486.835938 52482.519531 37.635170 151.642944 -17.008465
36 23301.816406 49444.683594 48750.289062 -671.418823 -268.608002 -16.320627
37 29854.587891 41473.105469 53395.531250 -368.299164 -9.815879 -226.218872
38 9502.454102 30689.710938 74411.843750 -138.185791 -0.061262 144.184189
39 40437.882812 36793.246094 56942.351562 -192.470505 78.736343 -78.436623
40 11862.820312 10677.204102 30855.023438 -29.800877 176.027817 -135.771179
41 17671.783203 55099.902344 65317.757812 -174.481567 3.940680 -98.278931
42 29222.574219 61414.589844 31474.126953 -41.868011 -58.135204 157.210861
43 11100.564453 17975.679688 61239.851562 -4.940780 72.471527 155.605179
44 18665.777344 11164.868164 20113.583984 -202.411621 11.403801 74.055367
45 8704.898438 38433.417969 26158.582031 8.360404 -66.943649 137.252518
46 41234.992188 1214.996582 71778.398438 -482.337128 152.451447 -227.292221
47 65000.781250 13494.447266 32984.636719 89.748390 -99.244255 -257.084808
48 9920.675781 35864.875000 60890.507812 14.339129 36.068600 -114.935654
49 13975.065430 41569.750000 30134.888672 -77.408348 -68.846840 197.624924
50 25980.890625 17867.240234 31111.662109 -264.239655 -23.768839 4.792262
51 23618.312500 25054.681641 55589.285156 -105.786255 98.284630 -195.704041
52 68292.492188 67398.031250 51536.949219 -8.605939 -204.536148 -57.848022
53 67008.093750 5293.047852 38943.390625 -132.118164 -15.458615 -127.749504
54 23761.525391 41835.925781 52167.847656 -121.108162 231.530792 -315.106903
55 71948.046875 57707.738281 55397.503906 -231.186737 -19.139082 -175.943130
56 823.363464 56822.410156 62368.230469 122.799324 -87.455475 -327.533691
57 9166.690430 19682.771484 64734.171875 149.264328 25.769682 -94.285637
58 38291.113281 180.708359 37175.527344 52.789848 -323.347900 157.250839
59 2291.337158 16741.984375 24163.972656 -330.150238 408.361115 -97.533478
60 56505.992188 13143.849609 50106.437500 -26.635569 -116.036476 -150.824768
61 73159.328125 1607.687622 44717.394531 -118.766632 -12.607379 -176.928986
62 31481.601562 23730.621094 45065.253906 -162.655258 126.995094 -8.661782
63 73595.796875 28346.560547 15682.772461 656.218140 -499.233124 156.297714
64 70966.179688 14976.488281 28857.968750 68.383141 104.152687 -338.563385
65 48652.023438 32564.476562 28379.027344 76.304649 -2.073471 53.249176
66 40254.574219 45398.613281 52723.457031 -239.697540 2.938568 -14.145027
67 22198.232422 56125.519531 56600.238281 -172.511536 -239.657944 -137.495010
68 49177.890625 66606.070312 24045.876953 89.950897 40.436993 255.661560
69 62043.347656 28998.978516 22991.083984 276.927124 -186.517792 -57.234402
70 49810.449219 46449.257812 25133.644531 154.397385 52.834358 182.242508
71 6887.463379 50921.921875 43009.015625 252.816376 -33.651005 441.470306
72 17800.591797 43710.203125 32236.511719 -207.572250 -147.337265 258.338837
73 7309.165039 33946.015625 58723.429688 280.831757 171.050522 116.930939
74 23824.714844 65470.632812 23276.669922 -17.090254 79.843353 63.279659
75 22289.017578 43233.953125 48038.652344 -302.400726 223.756454 -15.881635
76 8662.599609 34833.187500 59765.207031 104.573097 224.954422 0.466749
77 799.120789 31392.929688 6136.940918 92.374245 52.777279 230.730103
78 74902.648438 33469.851562 4498.449219 83.864067 -182.345779 78.474762
79 73474.203125 49268.324219 56214.683594 342.702576 352.559692 -289.610016
