#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
298936 59831.695312 8484.636719 73331.476562 11.376963 103.497055 39.432529 299.602234 -2.119393e+01
298937 59663.257812 8517.495117 73428.890625 -185.673080 55.739250 -87.942780 142.448380 -2.064529e+01
298938 59896.632812 8522.655273 73328.125000 161.650436 183.279327 59.199844 161.597122 -2.206401e+01
298939 60240.632812 8738.966797 73583.773438 -210.455048 7.150721 -5.907602 117.861771 -1.963694e+01
298940 59940.457031 8445.170898 73397.039062 64.878181 -137.539856 249.994751 122.575348 -1.940277e+01
298941 59725.324219 8163.800781 73278.132812 -2.602556 423.164703 16.732868 88.442337 -1.833162e+01
298942 60127.625000 8651.488281 73427.773438 -73.548378 -22.470667 -240.185410 80.376526 -1.740899e+01
298943 59597.324219 8321.245117 73217.203125 -39.327507 114.448120 -22.893084 70.400948 -1.765468e+01
298944 59862.304688 8435.602539 73349.203125 410.063660 472.003937 -133.550156 81.180298 -1.845041e+01
298945 59420.394531 8405.285156 73369.007812 121.121002 189.954056 89.191673 72.306938 -1.665747e+01
298946 59765.261719 8365.353516 73344.890625 -134.790970 102.552269 124.253639 68.370209 -1.654745e+01
298947 59823.492188 8334.679688 73242.796875 -214.814667 142.080170 329.625397 62.479424 -1.672672e+01
298948 59657.839844 8155.331055 73121.421875 295.908661 202.069077 43.786678 53.536201 -1.482360e+01
298949 59707.675781 8228.497070 73190.070312 161.598938 -42.920082 9.259583 53.672581 -1.495104e+01
298950 59901.660156 8636.582031 73425.265625 -195.429062 253.448059 -104.130028 48.432171 -1.403942e+01
298951 59861.734375 8541.103516 73213.640625 -0.597073 -37.868301 -177.421463 40.753078 -1.579926e+01
298952 59686.238281 8160.122070 73316.359375 -68.495125 422.314850 -75.864815 47.354069 -1.281583e+01
298953 59634.386719 8314.392578 73175.906250 -143.371536 -19.742403 189.517960 45.539188 -1.410617e+01
298954 59545.792969 8206.089844 73224.812500 93.700172 78.049904 -73.356163 40.581181 -1.368270e+01
298955 59573.011719 8491.934570 73140.070312 38.930672 145.899445 -209.948090 37.375916 -1.129527e+01
298956 59394.164062 8332.994141 73257.921875 123.799339 14.890612 -6.999253 39.601028 -1.292519e+01
298957 59520.324219 8378.893555 73164.187500 -27.447659 277.714203 -109.941597 39.812748 -1.301517e+01
298958 59393.546875 8498.135742 73153.640625 60.553757 20.294128 -5.153470 39.287899 -1.257092e+01
298959 59585.480469 8262.923828 73032.539062 84.723839 103.058334 -52.472363 36.171371 -1.422840e+01
298960 59668.625000 8368.170898 73340.070312 -89.993477 21.062710 50.860489 29.634651 -1.437250e+01
298961 60038.824219 8465.372070 73274.718750 -252.668045 62.052212 381.720581 35.835663 -1.084814e+01
298962 59899.250000 8464.995117 73326.187500 282.649536 -25.423752 -225.258163 37.135544 -1.400617e+01
298963 59461.519531 8438.722656 73494.273438 152.521896 242.863235 146.529846 31.725607 -1.120771e+01
298964 59832.421875 8333.360352 73153.687500 367.838531 74.308418 44.666309 27.135426 1.000000e+37
298965 59987.105469 8385.203125 73222.312500 -272.538422 39.789375 340.531921 26.551617 1.000000e+37
298966 59467.589844 8490.696289 73065.117188 278.346008 103.801781 -64.028198 27.127548 1.000000e+37
298967 60277.753906 8737.995117 73541.453125 4.649503 -72.411934 -212.864670 34.998634 -1.204854e+01
298968 59809.687500 8479.867188 73205.109375 -91.786819 -15.117684 -206.580551 29.103674 -1.227844e+01
298969 60135.234375 8758.196289 73633.140625 -80.541260 113.992203 -224.692810 28.102118 -8.372216e+00
298970 59652.398438 8443.260742 73045.406250 73.786476 218.431641 97.004951 26.459558 1.000000e+37
298971 59988.109375 8392.300781 73376.539062 -222.238708 444.972565 -78.067802 25.781109 -1.011057e+01
298972 59788.230469 8619.777344 73299.820312 41.851402 -230.199997 235.125168 27.999691 -1.070718e+01
298973 60076.460938 8670.117188 73504.429688 -193.312790 147.222504 78.470924 24.204031 1.000000e+37
298974 59770.429688 8287.958984 73256.101562 142.228302 290.355499 -259.891876 22.730703 1.000000e+37
298975 59705.000000 8405.656250 73354.023438 183.714325 342.938507 -93.308846 26.767893 -1.261729e+01
298976 59827.777344 8412.898438 73240.281250 -320.100433 130.455048 196.799805 27.628416 -1.276899e+01
298977 60029.281250 8750.615234 73511.421875 -220.228653 -35.703686 -17.232748 24.778404 -1.011803e+01
298978 59721.210938 8419.742188 73292.289062 140.099594 277.106445 93.772842 14.675690 -1.093589e+01
298979 59830.722656 8455.652344 73323.554688 -367.566986 -147.276489 -186.103043 32.111553 -1.342825e+01
298980 59998.980469 8540.533203 73331.000000 206.034576 266.547241 -271.988342 27.884102 -1.023249e+01
298981 60049.554688 8630.863281 73410.671875 48.720524 138.898941 212.547592 26.643211 -1.020924e+01
298982 59641.132812 8449.688477 73447.421875 240.466980 212.026886 101.799149 24.906143 -1.186345e+01
298983 59515.300781 8188.490234 73323.476562 61.224560 -36.169739 118.504105 22.585045 1.000000e+37
298984 60086.812500 8700.333984 73517.648438 -62.541878 83.512711 -283.728668 21.530209 1.000000e+37
298985 59771.820312 8412.012695 73529.640625 -394.284088 67.852051 178.481461 21.985682 1.000000e+37
298986 59998.289062 8512.065430 73324.921875 287.978790 -221.438354 151.912399 23.714819 -1.061107e+01
298987 59478.027344 8269.773438 73315.914062 -27.725363 107.448273 216.498520 22.662163 1.000000e+37
298988 59664.730469 8325.597656 73447.000000 -6.909192 62.482403 213.502182 19.788593 1.000000e+37
298989 59882.000000 8446.622070 73350.078125 127.053581 473.212708 -213.997604 28.314331 -1.063254e+01
298990 59825.953125 8532.396484 73196.382812 147.075409 44.283924 422.112335 19.206800 1.000000e+37
298991 59556.238281 8314.468750 73285.898438 12.143085 95.822945 34.156456 22.181213 -1.232537e+01
298992 59763.601562 8541.815430 73270.898438 224.568878 74.953468 -65.592941 25.618530 -1.108861e+01
298993 59643.300781 8309.617188 73437.906250 242.170364 169.172714 131.191833 26.234121 -9.627147e+00
298994 59852.664062 8484.090820 73338.914062 -2.691673 601.566956 -114.842735 32.112953 -1.215040e+01
298995 59848.000000 8473.281250 73284.812500 300.307526 296.275879 385.537842 24.245520 -1.253894e+01
298996 59607.308594 8430.340820 73145.148438 141.728699 173.011841 -25.763283 23.981688 -1.129992e+01
298997 59763.878906 8527.035156 73399.953125 523.727539 14.327950 94.111603 20.034342 1.000000e+37
298998 59811.000000 8346.989258 73266.976562 344.191162 -18.413095 241.682190 17.169903 -8.765394e+00
298999 59913.304688 8546.327148 73447.851562 -380.471527 -60.632381 -88.548126 20.095594 -8.518085e+00
