#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun/h
452391 2409 56557.304688 25113.460938 40579.976562 -17.778749 -189.186218 -91.737457 152.143524 -2.087441e+01 -2.125511e+01 1.505619
452392 2409 56479.644531 25067.306641 40662.117188 -60.658283 -256.832275 -182.852325 98.869743 -1.906056e+01 -1.955171e+01 0.349859
452393 2409 56540.457031 25248.513672 40527.640625 17.922527 -319.299225 -136.269730 49.810150 -1.489428e+01 -1.537308e+01 0.008110
452394 2409 56542.128906 25065.386719 40451.980469 89.095306 -265.408417 -101.903366 48.553528 -1.359197e+01 -1.397604e+01 0.002111
452395 2409 56399.964844 25142.326172 40560.777344 -136.406509 -273.458893 -96.250793 32.688709 -1.008970e+01 -1.065144e+01 0.000203
452396 2409 56433.984375 25007.699219 40483.648438 31.357252 -276.707245 -79.907166 17.871315 1.000000e+37 1.000000e+37 0.000000
452397 2409 56475.160156 25183.675781 40796.027344 -61.257416 -199.506470 -136.837051 20.288321 1.000000e+37 1.000000e+37 0.000000
452398 2409 56591.949219 25103.193359 40579.093750 -28.093426 -142.565964 -51.227333 13.774946 -1.328070e+01 -1.334809e+01 0.000109
452399 2409 56531.183594 25121.212891 40691.531250 5.190112 -107.005272 -12.322742 15.539116 1.000000e+37 1.000000e+37 0.000000
452400 2409 56575.191406 25083.167969 40511.226562 -5.982369 -350.445984 -22.667160 14.704239 1.000000e+37 1.000000e+37 0.000000
452401 2409 56643.574219 25102.457031 40555.976562 160.805771 -170.304794 -88.730179 11.506151 1.000000e+37 1.000000e+37 0.000000
452402 2409 56543.359375 25047.492188 40581.453125 -22.213495 -281.729950 -210.655090 15.018858 1.000000e+37 1.000000e+37 0.000000
452403 2409 56472.597656 25028.158203 40715.070312 -130.344269 -178.960846 -139.460846 15.262186 1.000000e+37 1.000000e+37 0.000000
452404 2409 56528.273438 25283.957031 40516.394531 -1.578161 -325.123901 -174.875748 11.607480 1.000000e+37 1.000000e+37 0.000000
452405 2409 56473.234375 25090.900391 40615.796875 25.185373 -332.504333 -132.229858 12.660705 1.000000e+37 1.000000e+37 0.000000
452406 2409 56531.183594 25145.195312 40492.277344 75.065048 -206.500046 -46.264503 11.818391 1.000000e+37 1.000000e+37 0.000000
452407 2409 56545.074219 25002.712891 40457.937500 85.765228 -197.684265 -146.238968 9.379573 1.000000e+37 1.000000e+37 0.000000
452408 2409 56469.906250 25106.683594 40672.824219 -143.237045 -112.988892 -99.391632 12.292809 1.000000e+37 1.000000e+37 0.000000
452588 2416 56316.437500 24523.662109 40438.886719 1.388319 -170.938248 -121.746384 170.342407 -2.133257e+01 -2.172838e+01 2.393601
452589 2416 56316.539062 24516.980469 40442.085938 -81.888481 -112.711670 5.059505 32.594658 -1.720490e+01 -1.733768e+01 0.012016
452590 2416 56317.472656 24526.474609 40428.023438 83.094727 -254.442993 -155.865906 25.203501 -1.739200e+01 -1.743336e+01 0.008220
452591 2416 56295.812500 24507.878906 40461.085938 43.567829 -115.241013 -113.975121 18.376369 1.000000e+37 1.000000e+37 0.000000
452592 2416 56278.363281 24595.035156 40491.750000 -79.760544 -116.692184 -32.530575 19.176514 -1.086059e+01 -1.130999e+01 0.000154
452593 2416 56333.031250 24576.183594 40438.429688 -108.770897 -175.168625 8.584671 25.196259 -1.024774e+01 -1.085936e+01 0.000300
452594 2416 56387.019531 24492.021484 40315.503906 -31.707094 -222.105881 -75.087013 16.320240 1.000000e+37 1.000000e+37 0.000000
452595 2416 56386.187500 24566.281250 40452.523438 73.715225 -257.925171 -208.966888 16.980202 1.000000e+37 1.000000e+37 0.000000
452596 2416 56316.128906 24523.576172 40439.050781 -3.595293 -152.309555 -142.467514 19.249628 -1.264228e+01 -1.333142e+01 0.001500
452597 2416 56422.046875 24608.562500 40326.441406 63.621811 -136.652420 -60.713787 14.790771 1.000000e+37 1.000000e+37 0.000000
452598 2416 56352.890625 24675.142578 40412.253906 -120.797623 -194.304993 -141.962906 12.802659 1.000000e+37 1.000000e+37 0.000000
452599 2416 56441.480469 24531.111328 40312.046875 -1.235882 -87.227844 -43.557617 11.382764 1.000000e+37 1.000000e+37 0.000000
452600 2416 56312.796875 24560.958984 40365.261719 -8.168411 -58.931076 -92.281471 17.819326 1.000000e+37 1.000000e+37 0.000000
452601 2416 56334.484375 24571.945312 40478.679688 -122.229340 -94.245888 -220.091507 15.538165 1.000000e+37 1.000000e+37 0.000000
452602 2416 56295.898438 24569.732422 40500.035156 -53.100510 -124.368370 -307.616180 11.911189 1.000000e+37 1.000000e+37 0.000000
452603 2416 56232.726562 24512.755859 40591.156250 29.328259 -248.438553 -129.446335 12.450518 1.000000e+37 1.000000e+37 0.000000
452604 2416 56343.503906 24462.089844 40534.609375 78.916214 -261.915558 -38.401817 10.850863 1.000000e+37 1.000000e+37 0.000000
452605 2416 56268.218750 24513.583984 40547.632812 -51.041847 -213.261185 -230.318649 11.970128 1.000000e+37 1.000000e+37 0.000000
452606 2416 56307.628906 24449.382812 40456.449219 -102.690063 -150.125549 -29.649750 12.165637 1.000000e+37 1.000000e+37 0.000000
452607 2416 56325.808594 24606.621094 40499.929688 -25.469177 -59.987087 -175.916656 12.796777 1.000000e+37 1.000000e+37 0.000000
452608 2416 56320.121094 24553.884766 40398.359375 -116.795570 -306.038330 -46.615284 11.389943 1.000000e+37 1.000000e+37 0.000000
452609 2416 56345.593750 24527.279297 40384.386719 148.574356 -93.358253 -66.168610 11.210855 1.000000e+37 1.000000e+37 0.000000
452610 2416 56322.421875 24524.173828 40320.816406 48.333004 -231.570694 -198.021225 8.254885 1.000000e+37 1.000000e+37 0.000000
452611 2416 56334.031250 24378.193359 40478.953125 15.570572 -178.106705 -224.132111 11.594707 1.000000e+37 1.000000e+37 0.000000
452612 2416 56374.683594 24612.880859 40461.582031 -73.574883 -198.844971 -37.575485 9.956051 1.000000e+37 1.000000e+37 0.000000
452613 2416 56327.839844 24596.599609 40399.757812 120.607292 -184.905716 -202.326141 9.783967 1.000000e+37 1.000000e+37 0.000000
452614 2416 56370.429688 24559.380859 40462.253906 151.409500 -287.117340 -162.305450 9.694411 1.000000e+37 1.000000e+37 0.000000
502738 5114 56511.054688 23770.242188 40415.839844 -23.992176 -165.302826 -68.072525 131.081207 -1.961614e+01 -2.002769e+01 0.542850
502739 5114 56545.585938 23751.714844 40407.945312 -93.444984 -51.108288 -67.783501 30.061813 -1.284529e+01 -1.348495e+01 0.001986
502740 5114 56570.500000 23717.968750 40270.316406 -0.464722 -258.336212 -110.994347 19.454361 1.000000e+37 1.000000e+37 0.000000
502741 5114 56487.207031 23893.941406 40439.441406 -105.856705 -145.266922 -26.543674 20.957417 1.000000e+37 1.000000e+37 0.000000
502742 5114 56494.367188 23792.744141 40379.750000 -143.821960 -130.903839 13.679145 18.461750 1.000000e+37 1.000000e+37 0.000000
502743 5114 56627.269531 23662.589844 40452.160156 48.555557 -82.443573 -66.617218 11.858820 1.000000e+37 1.000000e+37 0.000000
502744 5114 56487.011719 23803.917969 40440.160156 -7.131450 -209.301712 -190.795273 14.803561 -9.930570e+00 -1.052297e+01 0.000151
502745 5114 56575.128906 23781.183594 40504.164062 -115.527847 -168.690704 -96.318161 14.033043 1.000000e+37 1.000000e+37 0.000000
502746 5114 56545.007812 23854.369141 40317.296875 9.580482 -236.987228 -166.427643 8.848382 1.000000e+37 1.000000e+37 0.000000
502747 5114 56612.191406 23594.460938 40433.097656 -50.447647 -156.458664 -9.038167 10.752531 1.000000e+37 1.000000e+37 0.000000
502748 5114 56526.691406 23688.529297 40471.058594 -115.136574 -265.204041 -91.810417 7.254088 1.000000e+37 1.000000e+37 0.000000
523513 6910 57002.859375 27133.150391 40986.070312 -15.383867 -161.448196 -94.152878 116.077271 -1.919611e+01 -1.964923e+01 0.466449
523514 6910 57034.589844 27171.949219 41032.992188 -91.396973 -127.401794 -153.779343 47.419987 -1.272599e+01 -1.333192e+01 0.001893
523515 6910 57095.539062 27073.921875 41043.085938 -36.772377 -122.441887 7.452629 16.883493 1.000000e+37 1.000000e+37 0.000000
523516 6910 57072.714844 27125.468750 41023.195312 -116.585060 -110.243889 -77.344337 19.489225 1.000000e+37 1.000000e+37 0.000000
523517 6910 57062.628906 27115.898438 41090.089844 17.492821 -146.767517 -172.409714 15.997037 1.000000e+37 1.000000e+37 0.000000
523518 6910 56927.117188 27214.322266 40919.152344 -0.344506 -144.175583 -38.839157 17.654472 1.000000e+37 1.000000e+37 0.000000
523519 6910 56945.367188 27149.072266 41062.523438 -77.357117 -237.475891 -88.464531 15.322392 1.000000e+37 1.000000e+37 0.000000
523520 6910 57036.824219 27198.636719 40997.746094 -28.510111 -101.713837 -119.954010 18.762545 1.000000e+37 1.000000e+37 0.000000
523521 6910 57070.875000 27100.923828 41089.269531 -58.606354 -108.881241 -17.006475 13.071587 1.000000e+37 1.000000e+37 0.000000
523522 6910 57036.535156 27102.052734 40964.808594 -81.207687 -77.855148 8.059864 11.337263 1.000000e+37 1.000000e+37 0.000000
523523 6910 56948.925781 27232.365234 40956.347656 16.279850 -144.520462 -37.465153 11.265039 1.000000e+37 1.000000e+37 0.000000
523524 6910 56947.878906 27057.867188 41015.527344 -27.096781 -107.102303 -133.873856 7.554796 1.000000e+37 1.000000e+37 0.000000
554888 10741 57428.269531 27091.599609 40743.453125 -41.419304 -158.036301 -74.950447 91.407288 -1.834089e+01 -1.866652e+01 0.112864
554889 10741 57494.917969 27103.343750 40742.179688 -90.234161 -245.534042 -86.728210 26.135946 1.000000e+37 1.000000e+37 0.000000
554890 10741 57405.058594 27022.230469 40702.832031 -70.714073 -148.099182 -83.242813 31.679161 -9.814726e+00 -1.036708e+01 0.000156
554891 10741 57430.492188 27094.419922 40715.140625 -64.318359 -105.351089 -114.880562 13.931719 1.000000e+37 1.000000e+37 0.000000
554892 10741 57425.929688 27106.023438 40746.121094 28.010588 -197.450836 -74.988533 16.742672 -1.391199e+01 -1.414447e+01 0.000531
554893 10741 57406.582031 27008.669922 40734.273438 -71.656693 -123.746490 -108.093773 20.185545 1.000000e+37 1.000000e+37 0.000000
554894 10741 57446.308594 27106.734375 40829.878906 -45.938068 -222.989105 -143.362564 11.622512 1.000000e+37 1.000000e+37 0.000000
554895 10741 57410.457031 27140.666016 40708.281250 32.655247 -171.301407 -15.882033 12.815776 1.000000e+37 1.000000e+37 0.000000
554896 10741 57357.054688 27039.328125 40790.175781 -27.765049 -198.241104 -101.655014 10.845384 1.000000e+37 1.000000e+37 0.000000
554897 10741 57392.628906 27022.902344 40711.128906 -64.873589 -117.797134 -115.780113 12.600971 1.000000e+37 1.000000e+37 0.000000
554898 10741 57457.312500 27161.285156 40742.941406 -56.807964 -121.246803 -109.667595 10.208085 1.000000e+37 1.000000e+37 0.000000
554899 10741 57444.097656 27106.039062 40742.500000 -65.471954 -93.489983 44.419624 13.512590 1.000000e+37 1.000000e+37 0.000000
554900 10741 57366.792969 27078.914062 40673.367188 -31.752554 -77.813118 -71.799438 9.348303 1.000000e+37 1.000000e+37 0.000000
574798 13965 55696.992188 22441.419922 40428.070312 -32.652416 -233.584015 -118.962105 88.597588 -1.821779e+01 -1.866642e+01 0.133673
574799 13965 55679.687500 22399.164062 40421.910156 41.830189 -276.067749 -150.065216 18.006403 1.000000e+37 1.000000e+37 0.000000
574800 13965 55682.472656 22507.720703 40467.742188 -2.551051 -192.521637 -155.052887 17.819244 1.000000e+37 1.000000e+37 0.000000
574801 13965 55651.937500 22450.978516 40414.968750 -10.987345 -213.666794 -17.016010 9.708989 1.000000e+37 1.000000e+37 0.000000
574802 13965 55647.734375 22496.072266 40429.636719 -38.864677 -239.582306 -21.841627 8.936824 1.000000e+37 1.000000e+37 0.000000
579497 14859 55520.382812 22010.085938 40475.855469 -37.478695 -222.412689 -128.645508 90.575211 -1.776586e+01 -1.814623e+01 0.097826
592858 17682 56689.218750 27146.683594 38834.980469 3.504719 -164.608963 -54.127422 80.346550 -1.785845e+01 -1.818619e+01 0.063975
592859 17682 56678.593750 27171.601562 38828.093750 6.940919 -180.498077 45.517849 22.077972 1.000000e+37 1.000000e+37 0.000000
592860 17682 56651.660156 27132.789062 38885.835938 33.594189 -92.456810 -54.853275 13.200806 1.000000e+37 1.000000e+37 0.000000
592861 17682 56618.179688 27167.005859 38782.812500 31.056479 -108.555801 -37.043659 9.856059 1.000000e+37 1.000000e+37 0.000000
592862 17682 56681.132812 27127.740234 38901.796875 46.645798 -194.854309 -105.526176 9.529324 1.000000e+37 1.000000e+37 0.000000
595372 18235 56126.410156 26776.568359 41430.015625 -13.629375 -133.238785 -109.912201 70.832954 -1.696905e+01 -1.728645e+01 0.025633
595373 18235 56179.734375 26837.955078 41431.898438 -52.003651 -152.752426 -130.311905 59.372868 -1.551455e+01 -1.591198e+01 0.008836
595374 18235 56142.691406 26770.892578 41433.500000 -84.652603 -93.147041 -36.633682 12.717495 1.000000e+37 1.000000e+37 0.000000
595375 18235 56112.972656 26771.179688 41405.464844 1.878866 -72.203110 -39.081726 11.453721 1.000000e+37 1.000000e+37 0.000000
595376 18235 56168.695312 26766.021484 41435.824219 -46.063976 -87.876137 -108.792717 10.239825 1.000000e+37 1.000000e+37 0.000000
595377 18235 56102.871094 26743.359375 41442.796875 31.281017 -125.911224 -154.344193 9.177896 1.000000e+37 1.000000e+37 0.000000
596018 18381 56288.621094 27545.875000 41702.359375 -32.591629 -143.094376 -73.686432 75.957138 -1.752110e+01 -1.794392e+01 0.065810
596019 18381 56349.253906 27523.449219 41634.324219 -30.991665 -84.229874 -69.127083 18.826937 1.000000e+37 1.000000e+37 0.000000
596020 18381 56301.730469 27549.427734 41657.832031 -11.694100 -217.065521 -46.006821 18.274687 1.000000e+37 1.000000e+37 0.000000
596021 18381 56273.941406 27478.826172 41715.718750 -48.056728 -113.083382 -125.109970 11.313338 1.000000e+37 1.000000e+37 0.000000
596022 18381 56254.250000 27524.550781 41663.628906 -49.583282 -149.359070 2.437514 12.024312 1.000000e+37 1.000000e+37 0.000000
597305 18691 58146.847656 23054.117188 41007.703125 -26.956654 -194.916168 -161.314163 85.820274 -1.790477e+01 -1.832294e+01 0.105529
597306 18691 58122.914062 23097.232422 41010.035156 -50.965748 -137.597092 -148.948242 9.959177 1.000000e+37 1.000000e+37 0.000000
635375 29158 57006.062500 25797.468750 39930.132812 -5.810364 -191.369766 -38.565685 71.778419 -1.648891e+01 -1.699974e+01 0.031967
635376 29158 57001.949219 25849.035156 39949.507812 -18.622896 -251.245392 -26.112791 11.284493 1.000000e+37 1.000000e+37 0.000000
635377 29158 57025.140625 25779.130859 39917.800781 -25.817774 -256.579926 4.415245 8.806001 1.000000e+37 1.000000e+37 0.000000
663111 38867 58148.960938 27252.609375 40336.761719 -24.927431 -159.798477 -81.893959 59.847988 -1.612702e+01 -1.658294e+01 0.019242
663112 38867 58103.839844 27266.720703 40332.238281 -14.343086 -112.185349 -76.130173 8.510723 1.000000e+37 1.000000e+37 0.000000
667028 40358 57017.269531 25659.375000 40367.285156 0.671254 -209.170059 -50.385983 65.006683 -1.571005e+01 -1.614061e+01 0.013481
667029 40358 56987.703125 25684.968750 40335.031250 -45.619675 -251.712372 -32.384876 11.761812 1.000000e+37 1.000000e+37 0.000000
674465 43381 57729.320312 22951.976562 38572.500000 16.069443 -201.968353 -118.247185 55.856312 -1.588056e+01 -1.596891e+01 0.003893
674466 43381 57701.808594 22973.103516 38531.394531 26.286726 -179.061661 -134.901108 16.060848 1.000000e+37 1.000000e+37 0.000000
674467 43381 57770.371094 22977.912109 38611.691406 18.306932 -226.014526 -138.236221 14.136451 1.000000e+37 1.000000e+37 0.000000
684948 47743 55830.695312 22327.333984 40619.664062 -28.639599 -200.369156 -67.037560 57.742867 -1.520224e+01 -1.567123e+01 0.007598
684949 47743 55852.410156 22326.968750 40565.125000 -36.986526 -219.734619 -48.446060 11.742128 1.000000e+37 1.000000e+37 0.000000
684950 47743 55890.449219 22342.222656 40616.164062 -57.923141 -256.869720 -94.391312 7.631863 1.000000e+37 1.000000e+37 0.000000
690770 50284 54102.644531 23593.855469 41673.105469 -49.784145 -205.076859 -93.912636 56.718689 -1.476184e+01 -1.534088e+01 0.009332
698707 53869 55495.117188 27109.072266 40066.968750 8.765329 -164.857162 -46.601028 54.089939 -1.471077e+01 -1.506378e+01 0.004117
698708 53869 55477.878906 27073.337891 40094.878906 24.432850 -173.858322 -53.097443 13.484737 1.000000e+37 1.000000e+37 0.000000
700040 54501 56299.914062 26398.205078 40130.312500 22.305496 -175.774994 -63.417522 53.603455 -1.461318e+01 -1.479315e+01 0.002230
700041 54501 56303.253906 26403.753906 40132.222656 86.845390 -160.373840 -21.140163 14.421726 1.000000e+37 1.000000e+37 0.000000
707343 57917 58374.367188 22979.865234 40299.722656 -29.491461 -199.932693 -146.660843 52.496284 -1.346704e+01 -1.398776e+01 0.001993
709268 58837 55142.882812 26904.472656 40061.785156 9.028457 -153.509140 -49.418835 43.815914 -1.137959e+01 -1.183353e+01 0.000245
709269 58837 55183.359375 26868.720703 40108.503906 46.809151 -158.322968 -65.702950 14.952623 1.000000e+37 1.000000e+37 0.000000
709270 58837 55155.933594 26909.017578 40113.644531 35.164566 -151.146790 -71.149658 11.650455 1.000000e+37 1.000000e+37 0.000000
709271 58837 55130.324219 26896.056641 40058.085938 63.561615 -130.217056 -58.627407 13.427886 1.000000e+37 1.000000e+37 0.000000
709272 58837 55161.027344 26878.160156 40094.003906 35.562405 -142.443283 -69.729874 7.946411 1.000000e+37 1.000000e+37 0.000000
711497 59941 55082.820312 24669.339844 38329.414062 11.846394 -195.023239 -73.620728 48.174847 -1.153994e+01 -1.207960e+01 0.000489
711498 59941 55078.214844 24671.548828 38340.863281 8.797123 -197.462875 -67.698235 22.567741 -8.615407e+00 -9.174475e+00 0.000058
722670 65465 56626.886719 24672.679688 40505.109375 -88.426239 -178.845993 -42.010822 49.965481 -1.434775e+01 -1.484866e+01 0.004864
722671 65465 56602.828125 24706.833984 40559.035156 -99.304932 -174.577286 -50.241558 8.016357 1.000000e+37 1.000000e+37 0.000000
750680 80389 56826.179688 26432.349609 39537.222656 6.877693 -181.534317 -52.700157 47.294964 -1.275963e+01 -1.337775e+01 0.001897
750726 80412 55965.601562 22728.568359 40454.820312 -53.700836 -204.877991 -95.378082 46.008530 -1.222103e+01 -1.278347e+01 0.000890
750727 80412 55942.253906 22692.255859 40459.609375 -33.910061 -215.317169 -115.417267 9.117792 1.000000e+37 1.000000e+37 0.000000
750753 80427 56930.750000 27208.132812 41115.203125 25.782282 -182.222656 -150.096130 48.301628 -1.315702e+01 -1.367199e+01 0.002078
760863 86029 56533.718750 27066.109375 39200.523438 19.207951 -165.569748 -71.427628 44.219383 -1.285792e+01 -1.333243e+01 0.000999
767530 89745 56481.152344 23988.222656 40158.191406 17.413340 -180.971588 -85.707840 47.888844 -1.311194e+01 -1.373285e+01 0.002585
768142 90092 57646.199219 24171.136719 39159.070312 6.715149 -200.635071 -95.299995 36.778103 -1.261076e+01 -1.266945e+01 0.000172
768143 90092 57665.632812 24173.419922 39170.636719 12.983623 -194.669662 -107.377472 15.650450 1.000000e+37 1.000000e+37 0.000000
768759 90435 58363.152344 26463.710938 39894.257812 -8.300581 -160.016739 -97.335670 43.488560 -1.340215e+01 -1.344743e+01 0.000523
768760 90435 58378.226562 26441.312500 39887.199219 -27.440777 -126.936615 -79.678230 17.003307 1.000000e+37 1.000000e+37 0.000000
784705 99748 56046.894531 23466.347656 40283.300781 19.562590 -175.919220 -147.334045 40.709198 -1.182795e+01 -1.237774e+01 0.000650
791587 103765 57818.734375 26839.322266 40291.320312 -34.052799 -143.673752 -75.270325 39.234337 -1.103918e+01 -1.156849e+01 0.000296
796813 106877 55139.117188 26048.425781 39507.472656 8.325034 -173.704117 -56.981014 34.428856 1.000000e+37 1.000000e+37 0.000000
796814 106877 55111.246094 26060.693359 39543.324219 32.183270 -191.377380 -67.365707 11.184099 1.000000e+37 1.000000e+37 0.000000
804303 111324 57967.878906 27348.201172 40676.906250 -13.580345 -182.820694 -68.782532 39.256760 -1.055363e+01 -1.114416e+01 0.000306
809062 114174 56313.238281 25915.568359 40760.531250 -6.778286 -187.656906 -136.163574 35.743492 -1.137884e+01 -1.185126e+01 0.000267
815621 118186 58309.476562 24040.080078 38520.433594 6.975821 -189.194244 -132.415085 28.863115 -8.736992e+00 -9.307109e+00 0.000074
815622 118186 58328.718750 24023.017578 38516.820312 16.476398 -178.467682 -141.824921 11.673389 1.000000e+37 1.000000e+37 0.000000
816049 118433 58810.753906 24968.427734 41795.289062 -13.512559 -158.722931 -134.223083 39.683079 -8.963737e+00 -9.532575e+00 0.000090
821000 121456 57405.335938 22835.474609 39127.078125 9.813234 -202.332184 -97.448410 36.205750 -9.629609e+00 -1.016865e+01 0.000102
824584 123694 56288.285156 26207.392578 41597.535156 7.288515 -145.867874 -108.058647 36.147667 1.000000e+37 1.000000e+37 0.000000
834187 129658 56088.652344 27120.990234 40551.171875 4.726879 -161.283463 -61.684792 35.971218 -1.026633e+01 -1.080289e+01 0.000171
840591 133636 57085.023438 22730.957031 39379.820312 -18.232218 -201.332275 -110.772034 25.835491 1.000000e+37 1.000000e+37 0.000000
840592 133636 57092.250000 22730.263672 39365.417969 -32.583939 -225.976120 -101.802856 15.974009 1.000000e+37 1.000000e+37 0.000000
840593 133636 57077.417969 22729.357422 39403.101562 -19.049726 -196.399216 -107.077332 15.442012 1.000000e+37 1.000000e+37 0.000000
841645 134310 56415.785156 24232.412109 40382.156250 -3.994795 -123.900436 -97.622520 37.511913 -1.080593e+01 -1.137087e+01 0.000321
853991 142133 54827.289062 22919.642578 42002.800781 -58.030022 -196.849380 -164.914261 30.745560 1.000000e+37 1.000000e+37 0.000000
860020 145953 57498.500000 24616.357422 39506.359375 -8.607518 -203.370407 -84.246712 31.853308 -8.451037e+00 -9.016288e+00 0.000054
860021 145953 57476.257812 24607.458984 39479.070312 7.988996 -183.832138 -73.440956 13.964402 1.000000e+37 1.000000e+37 0.000000
870470 152669 56460.964844 23977.632812 40327.332031 49.815624 -223.412598 3.564617 27.470070 1.000000e+37 1.000000e+37 0.000000
871394 153271 55257.308594 24587.880859 38016.457031 13.387933 -195.758530 -66.230324 29.875559 1.000000e+37 1.000000e+37 0.000000
871395 153271 55257.953125 24588.863281 38058.343750 29.765062 -206.725998 -70.001060 10.507503 1.000000e+37 1.000000e+37 0.000000
880015 158889 57628.257812 27047.515625 40521.453125 -48.876255 -134.590546 -59.826351 32.871719 -9.012620e+00 -9.561220e+00 0.000070
882035 160236 55431.148438 22013.371094 40387.566406 -8.441676 -235.512314 -134.733383 38.782375 -1.128369e+01 -1.189401e+01 0.000613
888917 164796 58668.703125 25907.914062 39557.214844 4.309237 -172.689804 -111.061630 33.421963 -9.489549e+00 -1.005518e+01 0.000141
888918 164796 58685.011719 25927.689453 39539.414062 -23.895176 -163.610596 -141.355347 11.739347 1.000000e+37 1.000000e+37 0.000000
893898 168115 54719.878906 23023.923828 42086.605469 -54.327480 -208.502289 -159.108368 28.951920 1.000000e+37 1.000000e+37 0.000000
895630 169284 56549.578125 22477.015625 41925.390625 -46.319279 -208.209000 -167.893356 22.272528 1.000000e+37 1.000000e+37 0.000000
895631 169284 56547.031250 22457.773438 41920.714844 -41.151306 -207.549530 -169.680618 15.387770 1.000000e+37 1.000000e+37 0.000000
895632 169284 56576.640625 22486.990234 41931.730469 -61.345654 -214.408401 -153.127869 14.157234 1.000000e+37 1.000000e+37 0.000000
897319 170426 55123.332031 22278.503906 41221.027344 -53.531792 -231.358795 -179.044922 27.095585 1.000000e+37 1.000000e+37 0.000000
898324 171094 56271.175781 22407.269531 40049.167969 -48.907776 -199.145981 -102.540138 26.108761 1.000000e+37 1.000000e+37 0.000000
899181 171669 56509.468750 26028.175781 40830.363281 -61.888710 -166.306747 -160.476440 21.736956 1.000000e+37 1.000000e+37 0.000000
899182 171669 56516.687500 26012.388672 40843.855469 -60.412434 -170.260101 -171.393036 16.702141 1.000000e+37 1.000000e+37 0.000000
899183 171669 56504.164062 26005.949219 40859.828125 -51.672802 -147.882034 -173.068222 10.855077 1.000000e+37 1.000000e+37 0.000000
903607 174678 56700.632812 22492.281250 39837.878906 -39.418476 -205.164017 -98.713898 25.462469 1.000000e+37 1.000000e+37 0.000000
903608 174678 56670.308594 22486.203125 39814.234375 -22.765181 -198.465622 -84.412590 10.488274 1.000000e+37 1.000000e+37 0.000000
903609 174678 56696.593750 22480.867188 39833.085938 -31.333002 -198.295212 -70.796745 13.073422 1.000000e+37 1.000000e+37 0.000000
910238 179174 56003.785156 26024.562500 39482.601562 16.866297 -176.626801 -49.647869 27.913586 1.000000e+37 1.000000e+37 0.000000
912724 180868 55871.496094 25510.306641 42774.750000 -44.740501 -135.563293 -137.932037 28.315586 1.000000e+37 1.000000e+37 0.000000
915914 183107 55251.484375 22115.753906 40832.519531 -35.212532 -251.150116 -171.304947 26.455381 1.000000e+37 1.000000e+37 0.000000
920749 186508 56905.406250 22925.876953 42072.554688 -44.469120 -198.111557 -163.595749 26.249929 1.000000e+37 1.000000e+37 0.000000
920750 186508 56876.699219 22907.253906 42071.195312 -47.919170 -196.649872 -184.178940 11.170472 1.000000e+37 1.000000e+37 0.000000
921571 187081 54329.425781 25192.693359 38694.277344 -0.103644 -189.471436 -64.761688 25.536552 1.000000e+37 1.000000e+37 0.000000
921572 187081 54321.175781 25206.152344 38695.761719 0.934483 -203.061859 -72.708633 10.116600 1.000000e+37 1.000000e+37 0.000000
921768 187216 56378.113281 24259.103516 40233.050781 61.367706 -125.327286 -133.383026 22.111633 1.000000e+37 1.000000e+37 0.000000
921769 187216 56415.542969 24277.177734 40265.839844 22.539532 -118.882072 -163.390106 22.557590 1.000000e+37 1.000000e+37 0.000000
