#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun
457325 2594 33870.695312 19084.833984 33567.785156 -174.095367 -63.719814 107.609077 152.088760 -2.068971e+01 -2.112818e+01 1.547326
457326 2594 34080.500000 19123.576172 33526.667969 -277.474792 -53.013344 131.471039 100.436874 -1.864003e+01 -1.906520e+01 0.257984
457327 2594 33842.117188 19094.375000 33562.992188 -136.189758 12.245353 118.154099 38.498444 -1.496374e+01 -1.562915e+01 0.011701
457328 2594 33741.121094 19179.876953 33561.582031 -269.361084 -89.701813 142.032516 20.158579 1.000000e+37 1.000000e+37 0.000000
457329 2594 33831.179688 19180.800781 33595.160156 -308.778870 -9.675946 71.988197 17.545086 1.000000e+37 1.000000e+37 0.000000
457330 2594 33960.781250 19083.832031 33597.765625 -241.527084 -148.540070 84.977524 23.496721 -9.050974e+00 -9.587919e+00 0.000057
457331 2594 33807.734375 19006.539062 33506.539062 -94.699409 -113.308357 88.144478 15.427241 1.000000e+37 1.000000e+37 0.000000
457332 2594 33849.527344 19136.632812 33587.257812 -257.673309 -127.942322 190.971466 16.426153 -1.085692e+01 -1.153943e+01 0.000405
457333 2594 33855.808594 19041.218750 33545.648438 -198.079117 -180.088623 285.432831 14.951135 1.000000e+37 1.000000e+37 0.000000
457334 2594 33927.753906 19157.914062 33502.003906 -225.368286 -112.220116 146.031784 14.495872 1.000000e+37 1.000000e+37 0.000000
457335 2594 34021.035156 19172.789062 33629.875000 -198.711197 4.456707 69.703896 11.624080 1.000000e+37 1.000000e+37 0.000000
457336 2594 33928.757812 19165.013672 33469.343750 -132.028854 -53.009876 220.705704 11.343953 1.000000e+37 1.000000e+37 0.000000
457337 2594 33976.609375 19065.775391 33459.058594 -144.246262 -119.701714 129.131973 9.469042 1.000000e+37 1.000000e+37 0.000000
457338 2594 33906.863281 19091.607422 33532.199219 -315.116425 17.044878 126.895424 13.244167 1.000000e+37 1.000000e+37 0.000000
457339 2594 33738.660156 19007.482422 33567.261719 -86.804398 -63.619293 141.286407 10.849288 1.000000e+37 1.000000e+37 0.000000
457340 2594 33903.289062 19170.001953 33506.628906 -153.416550 -142.427902 -9.025415 9.751553 1.000000e+37 1.000000e+37 0.000000
457341 2594 33923.843750 19027.574219 33469.425781 -247.055542 -33.510437 24.432486 11.318002 1.000000e+37 1.000000e+37 0.000000
457342 2594 33896.796875 19216.000000 33592.695312 -150.265640 -67.287849 -24.859243 8.086294 1.000000e+37 1.000000e+37 0.000000
457343 2594 33851.359375 19019.111328 33612.429688 -141.534470 -150.854706 -3.888351 10.195985 1.000000e+37 1.000000e+37 0.000000
457344 2594 33917.281250 19131.544922 33559.476562 -263.856659 38.304718 -24.363543 8.975599 1.000000e+37 1.000000e+37 0.000000
