#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
367324 64326.589844 12141.455078 5284.466797 25.456743 207.570068 66.554619 219.047989 -2.133130e+01 -2.185622e+01
367325 63932.851562 12226.800781 5402.881836 143.395874 221.445129 108.054276 117.252846 -1.909447e+01 -1.956489e+01
367326 64463.308594 12308.583008 5346.967285 -74.476944 195.216629 83.111900 101.410843 -1.934529e+01 -1.977533e+01
367327 64311.675781 12143.673828 5342.080078 138.019867 128.416412 -223.371445 95.314270 -1.833999e+01 -1.884594e+01
367328 64150.945312 12196.820312 5546.110840 26.434767 77.486320 10.699905 61.407108 -1.553752e+01 -1.618517e+01
367329 64532.601562 12036.605469 5160.357422 189.219650 329.738068 58.200943 50.603058 -1.539797e+01 -1.584494e+01
367330 64530.113281 12354.033203 5296.282715 -16.282026 166.016464 68.699570 51.273823 -1.526221e+01 -1.598937e+01
367331 64300.984375 12104.988281 5340.867188 -19.583271 558.249939 177.821869 47.923130 -1.408651e+01 -1.441580e+01
367332 64290.898438 12058.830078 5369.037598 -63.735340 172.814880 194.684464 41.775620 -1.480416e+01 -1.547830e+01
367333 64401.421875 12005.119141 5252.964355 193.889847 361.531555 -30.964497 40.452183 -1.313295e+01 -1.378378e+01
367334 64323.562500 12091.076172 5337.493164 -71.772118 544.287109 261.368866 36.916973 -1.187770e+01 -1.248133e+01
367335 64358.941406 11978.102539 5169.880859 145.354095 120.792717 3.685861 31.744144 -1.269410e+01 -1.337797e+01
367336 64291.734375 12044.329102 5426.613770 -35.922615 105.409050 5.625450 34.960621 -1.155925e+01 -1.218421e+01
367337 64365.382812 12019.559570 5368.258301 -219.828018 279.223328 -38.204884 26.137316 -1.037755e+01 -1.095346e+01
367338 64366.253906 12149.319336 5412.263184 152.524475 278.616699 169.727875 26.999315 -1.179774e+01 -1.244030e+01
367339 63983.714844 12198.625000 5324.538574 -128.930374 211.470505 -43.563526 23.346920 1.000000e+37 1.000000e+37
367340 64182.285156 12352.704102 5352.194336 -186.037933 190.938507 175.351135 24.005409 -8.671509e+00 -9.243235e+00
367341 64572.921875 12373.274414 5403.322754 -70.760674 48.020073 54.325111 24.483944 -9.323269e+00 -9.869720e+00
367342 64343.046875 12254.714844 5310.813477 -105.657562 78.595436 87.549591 30.082962 -1.301383e+01 -1.367848e+01
367343 64283.867188 12066.909180 5187.508789 83.245941 522.687317 132.920547 24.280306 -8.708500e+00 -9.274795e+00
367344 64315.562500 11997.078125 5281.313965 -86.841148 431.727631 38.696476 25.919724 -1.150329e+01 -1.215741e+01
367345 64250.542969 12273.505859 5401.573730 23.225346 317.378174 114.450912 27.161463 -1.164728e+01 -1.232128e+01
367346 64640.203125 12403.075195 5387.791016 39.792023 249.333466 89.292961 22.054787 -1.235733e+01 -1.298194e+01
367347 64001.253906 12231.565430 5500.019531 -104.042511 144.227356 142.508682 20.420540 1.000000e+37 1.000000e+37
367348 64159.203125 12040.788086 5275.867676 10.468842 83.433586 -91.123726 21.855692 -9.312342e+00 -9.860396e+00
367349 64515.277344 12454.228516 5392.922363 62.918690 272.437073 50.990982 22.253048 1.000000e+37 1.000000e+37
